LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
355;250200250;RADZIEMICE;Szreniawa (21392);50 15 12;20 13 51;240.0
356;250200280;IGOŁOMIA;Wisła (2);50 05 37;20 15 23;202
357;250200290;BORZĘCIN;Uszwica (21396);50 03 57;20 42 36;192.0
358;250200360;DĄBROWA TARNOWSKA;Breń (2174);50 11 10;20 59 28;197.0
359;250200370;KONIECZNO;Nida (216);50 47 39;20 02 03;268.0
360;250200380;BIELINY PODUCHOWNE;Czarna Nida (2164);50 50 58;20 57 32;321.0
361;250200490;Kokotów;Wisła (2);50 01 18;20 04 15;
362;250200520;Dobrowoda;Nida (216);50 23 40;20 45 56;208.0
363;250200550;Brończyce;Szreniawa (21392);50 14 00;20 06 12;256.0
364;250210020;Nosów;Pokrzywianka (23484);50 55 09;21 13 09;265.0
365;250210030;Annopol;Wisła (2);50 53 22;21 50 03;165.0
366;250210040;SŁUPIA NOWA;Pokrzywianka (23484);50 51 51;21 05 00;290.0
367;250210050;Święty Krzyż;Pokrzywianka (23484);50 51 34;21 03 05;575.0
368;250210070;BARANÓWEK;Koprzywianka (2194);50 46 12;21 15 28;283.0
369;250210080;SADKÓW;Czarna (2178);50 44 12;21 04 38;365
370;250210090;JASTRZĘBSKA WOLA;Łagowica (217832);50 43 29;21 11 13;263.0
371;250210110;RAKÓW;Czarna (2178);50 40 18;21 02 55;220
372;250210120;KLIMONTÓW;Koprzywianka (2194);50 39 12;21 27 01;203.0
373;250210130;STASZÓW;Czarna (2178);50 35 42;21 11 06;219.0
374;250210160;MAJDAN KRÓLEWSKI;Łęg (2198);50 22 00;21 45 07;200.0
375;250210170;WILCZA WOLA;Łęg (2198);50 20 29;21 55 55;190.0
376;250210180;CHORZELÓW;Wisła (2);50 20 53;21 26 39;170.0
377;250210210;MIELEC;Wisłoka (218);50 16 46;21 25 58;170.0
378;250210220;KOLBUSZOWA;Łęg (2198);50 15 44;21 44 45;200.0
379;250210230;RADOMYŚL WIELKI;Breń (2174);50 11 59;21 16 11;190.0
380;250210240;ZAWADA;Brzeźnica (2188);50 03 50;21 29 36;200.0
381;250210260;SĘDZISZÓW MAŁOPOLSKI;Brzeźnica (2188);50 04 41;21 42 13;210.0
382;250210280;Wola Raniżowska;Łęg (2198);50 18 04;21 59 32;195.0
383;250210290;Łubnice;Wisła (2);50 23 49;21 09 17;162.0
384;250210330;Klimontów;Koprzywianka (2194);50 39 09;21 27 49;210.0
385;250220020;Zakrzówek;Bystrzyca (246);50 55 46;22 22 21;270.0
386;250220030;Wysokie;Pór (24174);50 55 04;22 40 01;260.0
387;250220050;Zakłodzie;Pór (24174);50 45 27;22 51 41;205.0
388;250220080;FRAMPOL;Bukowa (2294);50 40 30;22 39 58;243.0
389;250220120;JAROCIN;Bukowa (2294);50 34 07;22 18 24;183.0
390;250220130;BRODZIAKI;Łada (2286);50 30 24;22 47 24;201.0
391;250220140;Tarnogróg;Tanew (228);50 21 24;22 45 24;237.0
392;250220210;JAROSŁAW;San (22);50 01 06;22 41 47;181.0
393;250220220;Jarosław;San (22);50 01 16;22 42 09;180.0
394;250220230;Piwoda;San (22);50 04 35;22 45 18;183.0
395;250220240;Bukownica;Łada (2286);50 33 38;22 50 48;235.0
396;250220250;Piskorowice;San (22);50 14 44;22 31 01;171.0
397;250230020;Nielisz;Wieprz (24);50 48 18;23 02 19;200.0
398;250230060;Józefów;Tanew (228);50 29 15;23 03 30;257.0
399;250230070;Tomaszów Lubelski;Bug (26714);50 27 29;23 23 56;270.0
400;250230130;FUTORY;Lubaczówka (2256);50 11 48;23 02 47;239.0
401;250230140;WIELKIE OCZY;Szkło (2254);50 01 04;23 09 30;236.0
402;250230160;CIESZANÓW;Tanew (228);50 14 01;23 07 05;217.0
403;250230170;Jędrzejówka;Tanew (228);50 19 47;23 20 34;285.0
404;250230180;Grabowiec Góra;Wolica (2432);50 48 45;23 34 12;268.0
405;250230190;Kolonia Nowosiółki;Huczwa (267142);50 32 30;23 54 58;248.0
406;250240010;Strzyżów;Bug (266);50 50 24;24 02 08;181.0
407;250240070;Gołębie;Bug (26714);50 38 05;24 04 59;204.0
408;251140060;Sobolice;Nysa Łużycka (174);51 23 18;14 58 30;150.0
409;251140110;Sanice;Nysa Łużycka (174);51 24 22;14 58 33;150.0
410;251150030;Nowogród Bobrzański;Bóbr (16);51 47 58;15 15 11;102.0
411;251150080;Grabik;Czarna (164382);51 39 09;15 06 41;166.0
412;251150110;Żagań;Bóbr (16);51 38 59;15 17 37;96.0
413;251150130;Łozy;Kwisa (166);51 29 22;15 22 01;128.0
414;251150180;Tomaszów Bolesławiecki;Bobrzyca (1638);51 16 35;15 40 39;186.0
415;251150220;Nowogrodziec;Kwisa (166);51 11 44;15 23 43;206.0
416;251150280;Twardocice;Gajowa (138664);51 05 26;15 44 51;253.0
417;251150290;Sulików;Czerwona Woda (1744);51 04 37;15 03 54;214.0
418;251150320;Bierna;Czerwona Woda (1744);51 02 20;15 06 59;265.0
419;251150340;Gryfów Śląski;Kwisa (166);51 01 36;15 24 34;312.0
420;251150350;Lubomierz;Oldza (1664);51 00 55;15 30 10;365.0
421;251150360;Świerzawa;Kaczawa (138);51 01 01;15 53 20;299.0
422;251150390;Złotniki Lubańskie;Zb. Złotniki (166513);51 00 50;15 20 26;360
423;251150410;ŚWIERZAWA;Kaczawa (138);51 01 01;15 53 20;260.0
424;251150420;STANKOWICE;Kwisa (166);51 01 00;15 18 49;335.0
425;251150430;Białków;Lubsza (1748);51 46 37;15 01 18;85.0
426;251150440;Siecieborzyce;Bóbr (16);51 39 56;15 32 13;150.0
427;251150450;Pieńsk;Nysa Łużycka (174);51 15 36;15 02 25;164.0
428;251150470;Miedziana;Czerwona Woda (1744);51 01 15;15 06 59;295.0
429;251160110;Osetno;Barycz (14);51 37 55;16 27 51;87.0
430;251160150;POLKOWICE DOLNE;Mokrzyca (16418);51 30 02;16 03 22;160.0
431;251160170;Chwałkowice;Rudawka (145444);51 26 54;16 36 47;178.0
432;251160190;LUBIN;Zimnica (1392);51 24 43;16 13 01;131.0
433;251160220;Oborniki Śląskie;Odra (1);51 17 22;16 55 50;160.0
434;251160290;Jawor;Nysa Szalona (1384);51 03 48;16 11 01;188.0
435;251160320;RADZYŃ;Obrzyca (156);51 52 21;16 02 16;60.0
436;251160360;GŁOGÓW;Odra (1);51 40 21;16 03 36;75.0
437;251160420;Pysząca;Odra (1);51 15 23;16 40 47;110.0
438;251170030;Witaszyce;Lutynia (1852);51 56 44;17 33 12;130
439;251170090;Smolice;Rdęca (1464);51 41 39;17 10 47;105.0
440;251170140;Milicz;Barycz (14);51 30 40;17 16 38;118.0
441;251170210;Trzebnica;Kanał Trzebnicki (14428);51 19 22;17 04 05;155.0
442;251170270;Bierutów;Widawa (136);51 07 08;17 32 41;141.0
443;251170290;Namysłów;Widawa (136);51 03 57;17 42 57;152.0
444;251170360;Ostrów Wielkopolski;Ołobok (1844);51 39 39;17 52 24;123.0
445;251170380;WOLA KSIĄŻĘCA;Lutynia (1852);51 57 41;17 35 21;118.0
446;251170430;OSTRZESZÓW II;Dąbrówka (1412);51 26 04;17 54 56;186.0
447;251170440;Drołtowice;Widawa (136);51 20 06;17 35 46;200.0
448;251180020;Zbiersk;Czarna Struga (183566);51 56 36;18 09 01;125
449;251180040;Poddębice;Ner (1832);51 53 08;18 57 35;130.0
450;251180050;Lisków;Swędrnia (18482);51 50 07;18 24 36;147.0
451;251180090;Sieradz;Warta (18);51 35 35;18 41 14;140
452;251180140;Złoczew;Oleśnica (1818);51 25 16;18 35 57;175
453;251180150;Mirków;Prosna (184);51 18 37;18 08 47;156
454;251180160;Osjaków;Warta (18);51 16 59;18 47 01;156
455;251180190;Siemianice;Prosna (184);51 10 58;18 08 35;180
456;251180240;Jastrzygowice;Prosna (184);51 00 04;18 27 25;202
457;251180310;Kiełczygłów;Nieciecz (18292);51 14 14;18 59 06;175.0
458;251180320;Kraszewice;Łużyca (18438);51 31 49;18 12 17;131.0
459;251180330;Działoszyn;Warta (18);51 07 12;18 52 26;191.0
460;251180350;SIERADZ-DZIGORZEW;Warta (18);51 37 27;18 42 17;128.0
461;251190140;Plucice;Luciąża (25452);51 12 13;19 36 07;204.0
462;251190150;Dobryszyce;Widawka (182);51 08 20;19 25 42;259.0
463;251190160;Przedbórz;Pilica (254);51 05 26;19 52 31;190.0
464;251190190;Łask;Grabia (1828);51 35 08;19 10 43;189
465;251190210;Szczerców;Widawka (182);51 20 27;19 07 09;160.0
466;251190220;Dobryszyce II;Widawka (182);51 08 51;19 24 30;216.0
467;251190230;Jarosty;Luciąża (25452);51 27 45;19 41 31;197.0
468;251190240;Wierzbowa;Ner (1832);51 59 12;19 04 46;111.0
469;251190250;Bełchatów;Widawka (182);51 22 47;19 23 49;207.0
470;251200030;Skierniewice;Bzura (272);51 57 55;20 09 37;128.0
471;251200080;Białobrzegi;Pilica (254);51 38 54;20 56 25;116.0
472;251200130;Opoczno;Drzewiczka (2548);51 22 44;20 14 04;200.0
473;251200140;Ruszkowice;Radomka (252);51 20 21;20 39 57;210.0
474;251200150;Łaziska;Radomka (252);51 19 26;20 55 33;180.0
475;251200170;Chełsty;Czarna (Maleniecka) (2544);51 12 57;20 08 55;220.0
476;251200220;Włochów;Czarna (2544);51 05 56;20 36 44;345.0
477;251200240;Stanowiska;Czarna (Maleniecka) (2544);51 02 31;20 22 17;305.0
478;251200250;Suchedniów;Kamienna (234);51 02 59;20 49 50;265
479;251200270;Dąbrówka Stara;Pilica (254);51 46 49;20 44 13;174.0
480;251200290;Teofilów;Pilica (254);51 31 41;20 10 58;150.0
481;251200320;Mszczonów;Bzura (272);51 59 03;20 29 50;161.0
482;251210040;JARCZEW;Wilga (2536);51 48 53;21 58 24;180.0
483;251210120;PUŁAWY;Wisła (2);51 24 46;21 57 58;142.0
484;251210230;Starachowice;Kamienna (234);51 02 30;21 03 21;265.0
485;251210240;Brody Iłżeckie;Kamienna (234);51 01 07;21 11 49;190.0
486;251210320;Kazanów;Iłżanka (236);51 16 42;21 28 03;158.0
487;251220040;Radzyń Podlaski;Tyśmienica (248);51 46 09;22 36 03;150.0
488;251220230;Ostrówek-Kolonia;Tyśmienica (248);51 35 37;22 36 01;
489;251220240;Zadworze;Wyżnica (2336);51 00 55;22 13 50;254.0
490;251220250;Ostrów Lubelski;Tyśmienica (248);51 29 46;22 52 11;157.0
491;251220260;Turze Rogi;Krzna (267144);51 55 37;22 27 50;159.0
492;251230120;Bezek;Wieprz (24);51 10 38;23 15 49;224.0
493;251230220;Depułtycze Królewskie;Uherka (2671434);51 04 59;23 26 10;216.0
494;251230240;Studzianka;Zielawa (2671448);51 55 54;23 12 53;143.0
495;252140070;Boleszkowice;Dopływ z Boleszkowic (191298);52 43 37;14 34 00;50.0
496;252140090;Kostrzyn Nad Odrą;Maszówek (1894);52 35 55;14 39 40;26.0
497;252140150;Maszewo;Odra (1);52 04 11;14 55 08;68.0
498;252140160;Trzcińsko-Zdrój;Rurzyca (1886592);52 57 52;14 35 17;53.0
499;252140210;Boczów;Rzepia (1786);52 19 01;14 56 19;79.0
500;252140220;Chojna;Rurzyca (1918);52 56 27;14 24 15;49.0
501;252150050;Krzyż;Noteć (188);52 52 52;15 59 01;34.0
502;252150070;Drezdenko;Noteć (188);52 51 17;15 50 28;31.0
503;252150180;Lubinicko-Świebodzin;Obrzyca (156);52 14 34;15 32 43;88.0
504;252150270;BABIMOST;Gniła Obra (1568);52 08 37;15 48 12;57.0
505;252150350;Kleszczewo;Obra (1878);52 27 21;15 23 23;93.0
506;252150360;Wityń;Obrzyca (156);52 16 03;15 36 40;76.0
507;252160050;Ryczywół;Wełna (186);52 48 57;16 50 20;70
508;252160110;Szamotuły-Baborówka;Sama (1872);52 35 04;16 38 17;74.0
509;252160160;Paproć;Obra (1878);52 18 16;16 10 59;77.0
510;252160230;Wielichowo;Obra (1878);52 06 50;16 21 23;65.0
511;252160350;Kopaszewo;Kanał Mosiński (1856);52 00 12;16 49 06;91.0
512;252160370;Wronki;Warta (18);52 41 33;16 22 23;70.0
513;252170060;Janowiec Wielkopolski;Wełna (186);52 45 17;17 27 44;95
514;252170110;Gniezno;Wełna (186);52 33 27;17 31 55;170.0
515;252170180;Września;Wrześnica (1838);52 18 54;17 35 33;105
516;252170190;SŁUPCA;Warta (18);52 16 19;17 53 00;89.0
517;252170210;Kórnik;Warta (18);52 14 43;17 06 07;77.0
518;252170330;Nowa Wieś Podgórna;Warta (18);52 08 32;17 35 21;73.0
519;252170390;Gniezno II;Wełna (186);52 31 25;17 37 49;117.0
520;252170410;Mogilno;Noteć Zachodnia (1882);52 38 40;17 58 00;95.0
521;252170420;Rogowo;Wełna (186);52 43 57;17 38 36;94.0
522;252180060;Pakość;Noteć (188);52 47 58;18 05 33;76.0
523;252180080;Kołuda Wielka;Noteć (188);52 44 09;18 08 56;88.0
524;252180210;Kłodawa;Rgilewka (18332);52 15 03;18 54 57;117
525;252180260;Turek;Kiełbaska (18334);52 00 37;18 29 54;115
526;252180290;Tuliszków ;Powa (18352);52 04 04;18 16 07;111.0
527;252180310;RADOSZEWICE;Noteć (188);52 21 43;18 42 22;110.0
528;252180370;Kleczew;Struga Kleczewska (183459272);52 23 13;18 10 14;98.0
529;252180380;Rakowo;Noteć (188);52 29 50;18 17 19;103.0
530;252190030;GŁODOWO;Mień (2794);52 49 50;19 14 08;104.0
531;252190120;Żychlin;Bzura (272);52 14 34;19 37 23;97.0
532;252190160;Walewice;Bzura (272);52 06 10;19 39 56;95.0
533;252190190;Lutocin;Skrwa (2756);52 59 05;19 45 04;129.0
534;252190230;Poddębice;Zgłowiączka (278);52 33 13;19 00 33;91.0
535;252190240;Trębki;Bzura (272);52 19 13;19 32 26;105.0
536;252200080;BORKOWO;Wkra (268);52 33 43;20 39 37;85.0
537;252200120;LEGIONOWO;Wisła (2);52 24 28;20 57 22;94.0
538;252200150;Warszawa-Bielany;Wisła (2);52 16 53;20 57 48;98.0
539;252200290;Kampinos;Bzura (272);52 16 08;20 28 21;87.0
540;252200350;Nacpolsk;Płonka (26876);52 30 51;20 15 05;126.0
541;252210020;CZARNOWO;Orz (2656);52 52 55;21 32 06;94.0
542;252210050;PUŁTUSK;Narew (26);52 43 39;21 05 25;95.0
543;252210240;Wielgolas;Świder (256);52 02 14;21 43 26;150.0
544;252210290;Rybienko;Bug (266);52 34 40;21 25 45;93.0
545;252210320;Kozły;Bug (26714);52 27 08;21 24 33;107.0
546;252210330;Rząśnik Włościański;Narew (26);52 50 59;21 43 14;120.0
547;252220050;BRAŃSK;Nurzec (2666);52 44 31;22 49 35;125.0
548;252220120;TONKIELE;Bug (266);52 24 44;22 33 55;115.0
549;252220210;Wierzbowo Nowe;Narew (26);52 59 04;22 19 27;130.0
550;252220220;Tołwin;Bug (26714);52 29 57;22 57 04;175.0
551;252220230;Andrzejewo;Brok (2671476);52 49 24;22 11 07;117.0
552;252230010;NOWOSADY;Kołonna (2611316);52 58 21;23 52 44;160
553;252230030;BONDARY;Narew (26);52 56 15;23 45 16;147.0
554;252230040;NAREW;Narew (26);52 54 53;23 31 09;139.0
555;252230060;NAREWKA;Narewka (2612);52 52 18;23 43 41;143
556;252230080;NOWE MASIEWO;Narew (26);52 50 02;23 53 50;150
557;252230090;CHRABOŁY;Orlanka (2614);52 51 44;23 11 44;127
558;252230110;HAJNÓWKA;Leśna (26652);52 43 57;23 33 37;163.0
559;252230120;BIAŁOWIEŻA;Narewka (2612);52 42 26;23 50 52;163.0
560;252230150;Kleszczele;Nurzec (267146);52 34 20;23 19 10;160.0
561;252230190;CICIBÓR;Krzna (2664);52 04 37;23 06 34;144.0
562;252230230;NAREW;Narew (26);52 55 00;23 31 22;134.0
563;252230240;NAREWKA;Narewka (2612);52 51 49;23 43 30;143.0
564;252230250;ZAMOSZE;Narewka (2612);52 48 55;23 54 46;157.0
565;252230280;Jagodniki;Orlanka (2614);52 41 50;23 29 21;156.0
566;252230290;Bolesty;Nurzec (267146);52 44 12;23 05 27;156.0
567;253140010;Wolin;Cieśnina Dziwna (35);53 50 15;14 36 57;2.0
568;253140040;Trzebież;Zalew Szczeciński (319);53 39 47;14 30 50;1
569;253140060;Goleniów;Ina (198);53 35 38;14 53 18;34
570;253140110;Gryfino;Odra (Regalica) (19751);53 15 25;14 29 04;3.0
571;253150010;Starnin;;53 57 57;15 27 24;36.0
572;253150020;Witno;Cieśnina Dziwna (35);53 56 40;15 03 47;20.0
573;253150070;Łabędzie;Rega (42);53 39 02;15 48 33;100
574;253150130;Lisowo;Krąpiel (1988);53 25 51;15 18 05;95
575;253150190;PRZELEWICE;Płonia (1976);53 06 15;15 04 56;65.0
576;253150250;Drawno;Drawa (1888);53 12 47;15 46 12;76.0
577;253150290;Łopianów;Rega (42);53 52 32;15 15 41;32.0
578;253150310;Niedźwiedziska;Cieśnina Dziwna (35);53 56 58;15 04 41;20.0
579;253150320;Lubiana;Mała Ina (1986);53 06 16;15 19 24;68.0
580;253150330;Słonowice;Rega (42);53 43 01;15 43 05;105.0
581;253150340;Międzyrzecze;Rega (42);53 52 19;15 34 06;59.0
582;253150350;Radowo Małe;Rega (42);53 40 06;15 27 08;93.0
583;253150360;Kinowo;Rega (42);53 58 30;15 27 05;32.0
584;253160010;Sępolno Wielkie;Biała (188624);53 56 51;16 46 25;165
585;253160020;Osówko;Parsęta (44);53 54 20;16 04 05;55
586;253160040;Grzmiąca;Parsęta (44);53 50 09;16 26 21;100.0
587;253160090;WIERZCHOWO;Drawa (1888);53 27 36;16 06 16;137.0
588;253160110;Jastrowie;Gwda (1886);53 25 32;16 48 50;111
589;253160240;Barwice;Parsęta (44);53 45 11;16 21 14;133.0
590;253160260;Wicewo;Parsęta (44);53 53 15;16 07 25;47.0
591;253170030;RÓŻKI-DĘBIE;Brda (292);53 53 28;17 08 53;155.0
592;253170060;Zapędowo;Brda (292);53 42 15;17 50 25;125
593;253170160;Sypniewo;Łobżonka (1884);53 21 52;17 19 49;128.0
594;253170210;Chrząstowo;Noteć (188);53 09 40;17 35 01;105.0
595;253170320;Lipa;Noteć (188);53 03 02;17 15 28;62.0
596;253170330;Sitowiec;Krówka (29276);53 22 08;17 45 15;134.0
597;253170340;Iwno;Dopływ z Łankowic (188528);53 01 36;17 25 05;111.0
598;253170350;Czyczkowy;Wda (294);53 51 39;17 44 00;137.0
599;253170360;Pruszcz;Brda (292);53 26 47;17 49 32;124.0
600;253170370;Upiłka;Brda (292);53 56 49;17 56 49;141.0
601;253180020;RADOSTOWO;Wisła (2);53 59 22;18 44 50;40.0
602;253180040;Starogard Gdański;Wierzyca (298);53 58 56;18 32 56;85.0
603;253180060;Czarna Woda;Wda (294);53 50 26;18 05 34;125.0
604;253180090;Śliwice;Wda (294);53 42 17;18 10 33;119.0
605;253180150;Grudziądz;Wisła (2);53 26 15;18 42 34;25.0
606;253180160;Radzyń-Fijewo;Radzyńska Struga (296692);53 22 58;18 56 49;104.0
607;253180170;Nowy Jasiniec;Brda (292);53 20 54;18 02 14;90.0
608;253180220;Bydgoszcz;Brda (292);53 10 25;18 02 45;55
609;253180260;Lubiewo;Brda (292);53 27 50;18 01 30;116.0
610;253180270;Skórcz-Ryzowie;Wierzyca (298);53 47 18;18 32 13;85.0
611;253180280;Brzozowo;Wisła (2);53 18 44;18 25 29;85.0
612;253190030;Dobrocin;Drwęca (28);53 54 30;19 49 41;118.0
613;253190070;Prabuty;Nogat (52);53 44 22;19 12 54;100
614;253190220;LIDZBARK;Wel (286);53 15 16;19 49 27;140.0
615;253190260;OSTROWITE;Drwęca (28);53 25 12;19 16 27;101.0
616;253190310;Kuligi;Wel (286);53 25 51;19 41 28;96.0
617;253190360;Najmowo;Osa (296);53 18 30;19 19 36;104.0
618;253190370;Bągart;Elbląg (54);53 59 30;19 23 04;0.0
619;253190380;Lubstyn;Drwęca (28);53 31 39;19 50 44;200.0
620;253200040;Gietrzwałd;Pasłęka (56);53 45 05;20 14 41;107.0
621;253200080;Jemiołowo;Pasłęka (56);53 33 42;20 17 58;175.0
622;253200140;Wielbark;Sawica (26542);53 24 22;20 56 14;127.0
623;253200290;Bagienice;Orzyc (2658);53 15 18;20 51 29;130.0
624;253200310;Przasnysz;Orzyc (2658);53 00 44;20 55 53;120.0
625;253210130;SZCZYTNO;Omulew (2654);53 34 37;21 00 44;160
626;253210170;ROZOGI;Szkwa (26518);53 29 29;21 22 46;130.0
627;253210180;PTAKI;Pisa (264);53 23 26;21 47 41;112.0
628;253210210;MYSZYNIEC;Rozoga (2652);53 23 04;21 21 01;120.0
629;253210220;DOBRYLAS;Pisa (264);53 17 47;21 49 38;104.0
630;253210260;ZARUZIE;Ruż (26516);53 08 51;21 48 09;87.0
631;253210280;DOBRYLAS;Pisa (264);53 17 07;21 51 53;102.0
632;253210290;PTAKI;Pisa (264);53 23 35;21 47 30;107.0
633;253210350;TYSZKI-WĄDOŁOWO;Skroda (26498);53 26 52;21 59 03;152.0
634;253210370;ŚWIĘTAJNO;Szkwa (26518);53 33 49;21 13 41;142.0
635;253210380;Turowo;Pisa (264);53 31 43;21 54 06;141.0
636;253210390;Mikosze-Osada;Orzysza (26458);53 48 58;21 54 28;124.0
637;253210410;Targowo;Krutynia (264326);53 41 43;21 01 43;165.0
638;253220070;BIEBRZA;Ełk (2628);53 39 02;22 34 42;115
639;253220080;DĘBOWO;Biebrza (262);53 36 38;22 55 50;115
640;253220120;OSOWIEC;Biebrza (262);53 28 57;22 38 45;110.0
641;253220130;RADZIŁÓW;Wissa (26296);53 24 50;22 24 19;115
642;253220160;BURZYN;Biebrza (262);53 16 43;22 27 15;120.0
643;253220210;TYKOCIN;Narew (26);53 12 16;22 46 14;109.0
644;253220220;ZAWADY;Ślina (26194);53 09 25;22 40 24;110.0
645;253220270;JABŁONOWO-WYPYCHY;Narew (26);53 01 47;22 45 01;130
646;253220310;MOŃKI;Nereśl (2618);53 24 01;22 47 47;175.0
647;253220330;MARIANOWO II;Narew (26);53 12 43;22 06 21;138.0
648;253220360;Biernatki;Netta (2622);53 52 04;22 51 12;136.0
649;253220370;Sawino;Narew (26);53 10 08;22 51 53;118.0
650;253230020;RÓŻANYSTOK;Sidra (26214);53 38 07;23 24 05;160
651;253230030;JANÓW;Brzozówka (2624);53 27 35;23 13 46;161.0
652;253230060;JAŁÓWKA;Sokołda (26162);53 21 14;23 20 26;170.0
653;253230110;FASTY;Supraśl (2616);53 10 39;23 01 33;114.0
654;253230160;SUPRAŚL;Supraśl (2616);53 12 39;23 19 57;137.0
655;253230170;NOWOSIÓŁKI;Supraśl (2616);53 10 30;23 31 35;132
656;253230180;Drahle;Sokołda (26162);53 23 08;23 33 18;162.0
657;253230230;Zarzeczany;Supraśl (2616);53 06 06;23 41 04;146.0
658;253230250;Śluza Tartak;Czarna Hańcza (64);53 52 57;23 27 42;108.0
659;254140010;Dziwnów;Morze Bałtyckie (0);54 01 20;14 43 54;3.0
660;254150050;Białogard;Parsęta (44);54 00 15;15 58 30;23.0
661;254150060;Gąski;Czerwona (454);54 14 17;15 55 02;8.0
662;254160020;Darłowo;Wieprza (46);54 25 60;16 22 06;12.0
663;254160030;Sławno;Wieprza (46);54 21 06;16 40 13;25.0
664;254160040;Jeżyczki;Wieprza (46);54 20 05;16 23 26;10.0
665;254160060;Sierakowo;Wieprza (46);54 12 59;16 30 59;50.0
666;254160080;Polanów;Wieprza (46);54 07 07;16 40 59;80.0
667;254160110;Miastko;Wieprza (46);54 00 56;16 58 49;160
668;254160130;Ciecholub;Wieprza (46);54 10 22;16 52 28;115.0
669;254160140;Kłanino;Parsęta (44);54 01 39;16 28 70;114.0
670;254160150;Mokre;Ząbrza (456182);54 10 13;16 24 06;76.0
671;254170020;Smołdzino;Łupawa (474);54 40 02;17 12 06;4.0
672;254170040;Karżniczka;Łupawa (474);54 29 15;17 13 43;75.0
673;254170060;Mikorowo;Łeba (476);54 24 30;17 34 50;117.0
674;254170070;Bukowina;Łupawa (474);54 25 20;17 50 36;155.0
675;254170130;Niezabyszewo;Słupia (472);54 08 18;17 25 24;160
676;254170140;Kościerzyna;Wierzyca (298);54 07 43;17 57 43;190.0
677;254170190;Słupsk;Słupia (472);54 27 48;17 02 08;17.0
678;254170210;Borucino;Radunia (4868);54 15 13;17 59 30;
679;254170280;Struszewo;Słupia (472);54 10 44;17 21 26;131.0
680;254170310;Objezierze;Słupia (472);54 18 01;17 04 04;142.0
681;254170320;Jasień;Łupawa (474);54 17 08;17 38 13;151.0
682;254170330;Tuchomko;Słupia (472);54 07 53;17 22 06;
683;254180010;Rozewie;Bałtyk (0);54 49 46;18 20 08;54
684;254180050;Wejherowo;Reda (478);54 35 54;18 16 13;22.0
685;254180060;Gdynia;Bałtyk (0);54 31 08;18 33 34;2
686;254180070;Tępcz;Łeba (476);54 30 27;18 02 20;178.0
687;254180090;Gdańsk-Rębiechowo;Morze Bałtyckie (0);54 22 16;18 29 12;146.0
688;254180130;Goręczyno;Radunia (4868);54 15 43;18 09 45;177.0
689;254180140;Ostrzyce-Brodnica Górna;Radunia (4868);54 16 28;18 05 29;213.0
690;254180260;Gdańsk-Port Północny;Bałtyk (0);54 23 59;18 41 52;2.0
691;254180270;Zelewo;Reda (478);54 37 23;18 04 31;43.0
692;254180280;Szemud;Reda (478);54 29 35;18 12 49;154.0
693;254180290;Szymankowo;Święta (1974398);54 04 27;18 55 53;3.0
694;254190020;Nowa Pasłęka;Zalew Wiślany (5119);54 25 34;19 44 49;2.0
695;254190050;Frombork;Zalew Wiślany (5119);54 21 37;19 40 38;2.0
696;254190070;Tolkmicko;Zalew Wiślany (5119);54 19 31;19 31 21;2
697;254190080;Pierzchały;Pasłęka (56);54 18 02;19 50 57;11
698;254190120;Kmiecin;Szkarpawa (514);54 11 16;19 09 50;0.0
699;254190150;SŁOBITY;Zalew Wiślany (5119);54 07 47;19 45 05;55.0
700;254190160;Pasłęk;Wąska (5456);54 04 07;19 38 10;14.0
701;254190190;Elbląg;Elbląg (54);54 09 43;19 25 53;39.0
702;254190230;Rogity;Pasłęka (56);54 23 21;19 51 41;8.0
703;254200040;BARTOSZYCE;Łyna (584);54 14 25;20 47 52;59.0
704;254200050;Bornity;Wałsza (568);54 11 04;20 03 03;47.0
705;254200070;KASZUNY;Drwęca Warmińska (566);54 09 30;20 20 23;89.0
706;254200080;LIDZBARK WARMIŃSKI;Łyna (584);54 08 09;20 35 10;90
707;254200140;Osieka;Łyna (584);54 12 32;20 46 57;74.0
708;254210020;WĘGORZEWO;Węgorapa (582);54 13 26;21 44 05;116.0
709;254220020;ŻABIN;Węgorapa (582);54 19 17;22 02 17;110.0
710;254220030;GOŁDAP;Gołdapa (5824);54 18 30;22 16 07;159.0
711;254220060;BANIE MAZURSKIE;Gołdapa (5824);54 15 06;22 01 23;110.0
712;254220090;OLECKO;Jez. Olecko Wielkie (2626139);54 02 51;22 29 13;182.0
713;254220120;Przerośl;Błędzianka (5828);54 15 29;22 39 35;215.0
714;254230040;Podwojponie;Szeszupa (68);54 18 01;23 07 10;207.0
715;349190600;Bielsko-Biała;Biała (2114);49 48 24;19 00 08;396.0
716;349190625;Zakopane;Biały Dunajec (21412);49 17 38;19 57 37;852.0
717;349190650;KASPROWY WIERCH;Biały Dunajec (21412);49 13 57;19 58 55;1990
718;349200628;Hala Gąsienicowa;Poroniec (214128);49 14 38;20 00 21;1523.0
719;349200660;NOWY SĄCZ;Dunajec (214);49 37 38;20 41 19;292
720;349210670;KROSNO;Wisłok (226);49 42 24;21 46 09;330.0
721;349220690;LESKO;San (22);49 27 59;22 20 30;420
722;349220695;PRZEMYŚL;San (22);49 48 15;22 46 19;279
