vertex_id,x,y,x_astar,y_astar
326,479860.98,573616.9,12339.282342857143,14750.148857142858
327,479871.03,573685.32,12339.540771428574,14751.908228571428
328,479344.77,573648.51,12326.008371428574,14750.961685714286
329,479425.55,573630.0,12328.085571428572,14750.485714285716
330,479351.02,575189.05,12326.169085714288,14790.575571428573
331,479403.3,575139.93,12327.513428571428,14789.312485714288
332,471188.12,569042.49,12116.265942857144,14632.521171428572
333,470340.08,568154.63,12094.459200000001,14609.690485714287
334,470699.93,567420.57,12103.712485714286,14590.814657142857
335,470778.42,567333.71,12105.730800000001,14588.581114285715
336,470735.34,567382.99,12104.62302857143,14589.848314285715
337,470534.98,567599.72,12099.470914285715,14595.421371428572
338,479107.75,575222.36,12319.913571428573,14791.432114285715
339,479350.95,575218.41,12326.167285714288,14791.330542857146
340,467116.98,572933.15,12011.579485714286,14732.566714285716
341,467630.37,572942.87,12024.780942857144,14732.816657142857
342,465198.97,572224.46,11962.259228571429,14714.343257142857
343,467310.48,572072.09,12016.5552,14710.425171428571
344,465200.1,572111.42,11962.288285714287,14711.436514285717
345,465236.77,572340.85,11963.23122857143,14717.336142857144
346,466850.81,571754.91,12004.735114285715,14702.269114285717
347,466601.93,572866.12,11998.335342857144,14730.843085714287
348,466327.22,572860.84,11991.271371428571,14730.707314285715
349,467353.6,571904.15,12017.664,14706.106714285715
350,467277.38,572201.01,12015.704057142859,14713.74025714286
351,467377.16,573206.04,12018.269828571429,14739.583885714288
352,466770.51,573604.06,12002.670257142858,14749.818685714288
353,466888.65,573591.26,12005.708142857144,14749.489542857144
354,467399.58,573229.8,12018.846342857145,14740.19485714286
355,468006.12,572060.57,12034.443085714287,14710.128942857144
356,467164.83,572979.12,12012.809914285715,14733.748800000001
357,467230.64,573501.74,12014.502171428572,14747.187600000001
358,468130.92,573403.19,12037.652228571429,14744.653457142856
359,467589.91,572707.19,12023.740542857144,14726.756314285714
360,467732.0,572905.43,12027.394285714287,14731.853914285717
361,467650.4,572449.78,12025.296000000002,14720.137200000001
362,467743.07,572916.56,12027.678942857145,14732.140114285718
363,467721.83,572941.22,12027.132771428573,14732.774228571428
364,468345.78,572548.35,12043.177200000002,14722.671857142857
365,468206.18,573081.0,12039.587485714286,14736.368571428573
366,467932.39,574238.01,12032.547171428572,14766.120257142858
367,468044.67,574311.3,12035.434371428571,14768.00485714286
368,467860.6,572750.81,12030.701142857144,14727.877971428574
369,467911.07,572666.97,12031.998942857144,14725.722085714286
370,467689.78,575250.83,12026.30862857143,14792.1642
371,467846.09,574610.26,12030.32802857143,14775.692400000002
372,468231.83,572400.03,12040.247057142858,14718.857914285716
373,467839.25,574621.39,12030.152142857143,14775.978600000002
374,468314.57,572449.66,12042.374657142858,14720.134114285716
375,467883.67,575106.26,12031.294371428572,14788.446685714287
376,467971.51,575160.85,12033.553114285716,14789.85042857143
377,467941.07,572712.52,12032.770371428573,14726.893371428572
378,467914.41,575263.81,12032.08482857143,14792.497971428575
379,468419.41,573656.08,12045.070542857144,14751.156342857143
380,468015.14,575187.97,12034.67502857143,14790.5478
381,468126.76,574361.68,12037.545257142858,14769.300342857145
382,468231.33,574764.39,12040.2342,14779.655742857145
383,468386.82,574527.14,12044.232514285715,14773.55502857143
384,468226.99,574206.83,12040.1226,14765.318485714286
385,468527.8,573165.01,12047.857714285716,14738.52882857143
386,468355.48,575150.74,12043.42662857143,14789.590457142858
387,468406.9,575164.19,12044.748857142858,14789.936314285715
388,468237.72,575329.48,12040.398514285715,14794.18662857143
389,468668.81,574096.86,12051.483685714287,14762.490685714287
390,468535.69,573729.94,12048.0606,14753.0556
391,468717.62,572303.14,12052.738800000001,14716.366457142858
392,468340.8,572534.79,12043.049142857144,14722.323171428574
393,468244.8,573540.44,12040.580571428573,14748.182742857143
394,468331.65,573597.58,12042.813857142859,14749.652057142857
395,468643.14,574690.65,12050.823600000002,14777.759571428573
396,468611.28,575238.65,12050.004342857144,14791.851000000002
397,468671.78,575354.73,12051.560057142859,14794.835914285715
398,468595.75,574660.4,12049.605000000001,14776.981714285715
399,468573.75,574646.36,12049.039285714287,14776.620685714286
400,468596.54,573546.94,12049.625314285715,14748.349885714286
401,468900.63,575001.87,12057.444771428572,14785.762371428573
402,468583.13,575491.98,12049.280485714287,14798.3652
403,470935.69,574506.02,12109.774885714287,14773.011942857145
404,470973.69,574518.48,12110.752028571429,14773.332342857144
405,470134.19,572709.54,12089.164885714286,14726.816742857145
406,469877.49,572751.15,12082.564028571429,14727.886714285716
407,468767.98,573780.53,12054.033771428572,14754.356485714288
408,468997.31,574637.69,12059.930828571429,14776.397742857143
409,468678.17,573569.63,12051.724371428572,14748.933342857144
410,468713.23,573545.83,12052.625914285714,14748.321342857143
411,468630.5,573583.7,12050.498571428572,14749.295142857143
412,468692.07,573831.27,12052.081800000002,14755.661228571431
